,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
0,David de Gea,es ESP,GK,31,58.3,1690.0,1455.0,1684.0,6.0,0.0,0.0,1690.0,0.0,0.0,,0.0,,1013.0,4474.0,2720.0,0.0,0.0,0.0,1.0,0.0,1017.0,0.0,Matches
1,Bruno Fernandes,pt POR,"MF,FW",27,57.3,3069.0,85.0,485.0,1228.0,1388.0,194.0,3067.0,90.0,44.0,48.9,37.0,41.1,1784.0,7785.0,4162.0,114.0,78.0,37.0,59.0,50.0,2154.0,302.0,Matches
2,Marcus Rashford,eng ENG,FW,24,47.6,1512.0,23.0,117.0,508.0,914.0,238.0,1512.0,177.0,68.0,38.4,91.0,51.4,975.0,5976.0,2924.0,110.0,58.0,75.0,95.0,51.0,1147.0,305.0,Matches
3,Casemiro,br BRA,MF,30,43.3,2657.0,153.0,780.0,1442.0,453.0,47.0,2657.0,27.0,12.0,44.4,10.0,37.0,1334.0,4428.0,2227.0,27.0,22.0,1.0,28.0,23.0,1659.0,53.0,Matches
4,Luke Shaw,eng ENG,DF,27,40.5,2804.0,199.0,936.0,1294.0,602.0,32.0,2804.0,47.0,19.0,40.4,18.0,38.3,1539.0,7524.0,4024.0,71.0,57.0,5.0,30.0,10.0,1711.0,103.0,Matches
5,Lisandro Martínez,ar ARG,DF,24,37.9,2536.0,372.0,1257.0,1209.0,91.0,16.0,2536.0,19.0,17.0,89.5,0.0,0.0,1512.0,7752.0,4593.0,30.0,25.0,0.0,17.0,10.0,1630.0,2.0,Matches
6,Diogo Dalot,pt POR,DF,23,36.0,2189.0,141.0,742.0,934.0,528.0,53.0,2189.0,46.0,26.0,56.5,12.0,26.1,1203.0,5761.0,2979.0,65.0,42.0,14.0,27.0,7.0,1325.0,114.0,Matches
7,Antony,br BRA,FW,22,34.4,1439.0,15.0,173.0,475.0,824.0,111.0,1439.0,114.0,44.0,38.6,49.0,43.0,1034.0,6396.0,3325.0,123.0,79.0,40.0,53.0,21.0,1091.0,249.0,Matches
8,Christian Eriksen,dk DEN,MF,30,34.0,2153.0,51.0,342.0,1170.0,647.0,40.0,2153.0,24.0,10.0,41.7,14.0,58.3,1332.0,5006.0,2606.0,40.0,45.0,3.0,34.0,25.0,1617.0,84.0,Matches
9,Tyrell Malacia,nl NED,DF,22,29.9,1554.0,75.0,511.0,655.0,400.0,35.0,1554.0,32.0,14.0,43.8,17.0,53.1,800.0,3962.0,2108.0,40.0,34.0,7.0,23.0,14.0,919.0,64.0,Matches
10,Raphaël Varane,fr FRA,DF,29,29.6,1578.0,181.0,747.0,771.0,68.0,23.0,1578.0,12.0,8.0,66.7,4.0,33.3,970.0,6416.0,3641.0,22.0,18.0,0.0,4.0,2.0,1022.0,4.0,Matches
11,Aaron Wan-Bissaka,eng ENG,DF,24,28.5,1308.0,94.0,459.0,518.0,340.0,52.0,1308.0,47.0,22.0,46.8,23.0,48.9,669.0,3388.0,1796.0,57.0,31.0,9.0,20.0,12.0,748.0,76.0,Matches
12,Victor Lindelöf,se SWE,DF,28,27.9,1522.0,183.0,715.0,737.0,72.0,6.0,1522.0,3.0,2.0,66.7,1.0,33.3,949.0,4668.0,2468.0,11.0,13.0,0.0,4.0,3.0,1067.0,3.0,Matches
13,Jadon Sancho,eng ENG,"FW,MF",22,26.9,1261.0,17.0,143.0,437.0,698.0,146.0,1261.0,101.0,45.0,44.6,49.0,48.5,844.0,4909.0,2738.0,112.0,48.0,62.0,64.0,27.0,923.0,223.0,Matches
14,Fred,br BRA,MF,29,25.5,1364.0,48.0,307.0,660.0,412.0,48.0,1364.0,41.0,15.0,36.6,20.0,48.8,761.0,2903.0,1340.0,15.0,24.0,5.0,37.0,26.0,864.0,82.0,Matches
15,Scott McTominay,sct SCO,MF,25,19.0,730.0,71.0,224.0,348.0,165.0,31.0,730.0,29.0,14.0,48.3,11.0,37.9,381.0,1831.0,915.0,21.0,20.0,3.0,28.0,20.0,435.0,30.0,Matches
16,Wout Weghorst,nl NED,"FW,MF",29,18.6,406.0,23.0,59.0,199.0,151.0,42.0,406.0,18.0,6.0,33.3,11.0,61.1,218.0,674.0,238.0,6.0,8.0,1.0,22.0,17.0,273.0,57.0,Matches
17,Harry Maguire,eng ENG,DF,29,17.9,956.0,101.0,484.0,424.0,56.0,16.0,956.0,4.0,3.0,75.0,1.0,25.0,600.0,3478.0,2199.0,12.0,10.0,1.0,2.0,0.0,648.0,5.0,Matches
18,Anthony Martial,fr FRA,FW,26,16.0,496.0,11.0,35.0,189.0,279.0,58.0,495.0,32.0,18.0,56.3,11.0,34.4,337.0,1528.0,670.0,21.0,15.0,9.0,36.0,23.0,419.0,102.0,Matches
19,Alejandro Garnacho,ar ARG,"FW,MF",18,13.5,421.0,8.0,44.0,109.0,273.0,74.0,421.0,57.0,17.0,29.8,32.0,56.1,301.0,2410.0,1312.0,49.0,31.0,37.0,37.0,16.0,324.0,116.0,Matches
20,Cristiano Ronaldo,pt POR,FW,37,11.7,464.0,11.0,35.0,170.0,261.0,73.0,463.0,20.0,6.0,30.0,10.0,50.0,241.0,976.0,545.0,17.0,11.0,9.0,20.0,7.0,378.0,88.0,Matches
21,Marcel Sabitzer,at AUT,MF,28,11.6,452.0,25.0,80.0,237.0,138.0,26.0,452.0,5.0,2.0,40.0,2.0,40.0,251.0,1009.0,450.0,12.0,7.0,1.0,13.0,7.0,294.0,36.0,Matches
22,Anthony Elanga,se SWE,FW,20,8.0,273.0,6.0,33.0,95.0,147.0,38.0,273.0,25.0,13.0,52.0,9.0,36.0,166.0,1041.0,502.0,20.0,7.0,12.0,15.0,9.0,195.0,47.0,Matches
23,Donny van de Beek,nl NED,MF,25,3.3,102.0,1.0,7.0,38.0,57.0,13.0,102.0,3.0,2.0,66.7,1.0,33.3,58.0,208.0,94.0,3.0,4.0,0.0,3.0,3.0,76.0,26.0,Matches
24,Facundo Pellistri,uy URU,"FW,MF",20,2.5,82.0,2.0,18.0,29.0,38.0,9.0,82.0,11.0,6.0,54.5,3.0,27.3,49.0,429.0,191.0,8.0,3.0,3.0,4.0,2.0,55.0,14.0,Matches
25,Martin Dúbravka,sk SVK,GK,33,2.0,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Tom Heaton,eng ENG,GK,36,2.0,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Kobbie Mainoo,eng ENG,MF,17,1.0,11.0,0.0,2.0,4.0,5.0,3.0,11.0,1.0,0.0,0.0,1.0,100.0,5.0,64.0,48.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,Matches
28,Charlie McNeill,eng ENG,DF,18,0.1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches
29,Brandon Williams,eng ENG,DF,21,0.1,,,,,,,,,,,,,,,,,,,,,,,Matches
